Species name adjusted,Species name,Group,Broad level threat,Scope,Severity,Timing score,"Sum of timing, scope, severity",Impact score,inv_sp_name
Amytornis modestus obscurior,Amytornis modestus obscurior,Birds,Invasive species and diseases,3,3,3,9,High,Red Fox
Amytornis modestus obscurior,Amytornis modestus obscurior,Birds,Invasive species and diseases,3,3,3,9,High,European Rabbit
Antechinus argentus,Antechinus argentus,Mammals,Invasive species and diseases,3,3,3,9,High,Feral Pig
Dasyurus maculatus maculatus (SE mainland population),Dasyurus maculatus maculatus (SE mainland populations),Mammals,Invasive species and diseases,3,3,3,9,High,Red Fox
Petrogale xanthopus xanthopus,Petrogale xanthopus xanthopus,Mammals,Invasive species and diseases,3,3,3,9,High,Red Fox
Acacia carneorum,Acacia carneorum,Plants,Invasive species and diseases,3,2,3,8,High,European Rabbit
Advena campbellii,Advena campbellii,Invertebrates,Invasive species and diseases,3,2,3,8,High,Lantana
Antechinus arktos,Antechinus arktos,Mammals,Invasive species and diseases,3,2,3,8,High,Red Fox
Argynnis hyperbius inconstans,Argynnis hyperbius inconstans,Invertebrates,Invasive species and diseases,3,2,3,8,High,Lantana
Austrostipa bronwenae,Austrostipa bronwenae,Plants,Invasive species and diseases,3,2,3,8,High,Feral Pig
Bettongia penicillata,Bettongia penicillata,Mammals,Invasive species and diseases,2,3,3,8,High,Red Fox
Burramys parvus,Burramys parvus,Mammals,Invasive species and diseases,3,2,3,8,High,Red Fox
Clausena excavata,Clausena excavata,Plants,Invasive species and diseases,3,2,3,8,High,Gamba Grass
Cyathea exilis,Cyathea exilis,Plants,Invasive species and diseases,3,2,3,8,High,Feral Pig
Dasyornis longirostris,Dasyornis longirostris,Birds,Invasive species and diseases,3,2,3,8,High,Red Fox
Eucalyptus leprophloia,Eucalyptus leprophloia,Plants,Invasive species and diseases,3,2,3,8,High,European Rabbit
Gentiana bredboensis,Gentiana bredboensis,Plants,Invasive species and diseases,3,2,3,8,High,Feral Pig
Geophaps smithii smithii,Geophaps smithii smithii,Birds,Invasive species and diseases,3,2,3,8,High,Gamba Grass
Gudeoconcha sophiae magnifica,Gudeoconcha sophiae magnifica,Invertebrates,Invasive species and diseases,3,2,3,8,High,Feral Pig
Lepidochelys olivacea,Lepidochelys olivacea,Reptiles,Invasive species and diseases,2,3,3,8,High,Feral Pig
Mathewsoconcha grayi ms,Mathewsoconcha grayi ms,Invertebrates,Invasive species and diseases,3,2,3,8,High,Lantana
Mathewsoconcha phillipii,Mathewsoconcha phillipii,Invertebrates,Invasive species and diseases,3,2,3,8,High,Lantana
Mathewsoconcha suteri,Mathewsoconcha suteri,Invertebrates,Invasive species and diseases,3,2,3,8,High,Lantana
Mesodontrachia fitzroyana,Mesodontrachia fitzroyana,Invertebrates,Invasive species and diseases,3,2,3,8,High,Cane Toad
Myrmecobius fasciatus,Myrmecobius fasciatus,Mammals,Invasive species and diseases,3,2,3,8,High,Red Fox
Onychogalea fraenata,Onychogalea fraenata,Mammals,Invasive species and diseases,3,2,3,8,High,Red Fox
Petrogale lateralis lateralis,Petrogale lateralis lateralis,Mammals,Invasive species and diseases,2,3,3,8,High,Red Fox
Petrogale lateralis MacDonnell Ranges race = Petrogale lateralis centralis,Petrogale lateralis MacDonnell Ranges race = Petrogale lateralis centralis,Mammals,Invasive species and diseases,3,2,3,8,High,Red Fox
Petrogale penicillata,Petrogale penicillata,Mammals,Invasive species and diseases,2,3,3,8,High,Red Fox
Phascogale calura,Phascogale calura,Mammals,Invasive species and diseases,3,2,3,8,High,Red Fox
Polytelis alexandrae,Polytelis alexandrae,Birds,Invasive species and diseases,3,2,3,8,High,Red Fox
Pomaderris subplicata,Pomaderris subplicata,Plants,Invasive species and diseases,3,2,3,8,High,European Rabbit
Prasophyllum correctum,Prasophyllum correctum,Plants,Invasive species and diseases,3,2,3,8,High,European Rabbit
Psephotus chrysopterygius,Psephotus chrysopterygius,Birds,Invasive species and diseases,3,2,3,8,High,Feral Pig
Pseudocheirus occidentalis,Pseudocheirus occidentalis,Mammals,Invasive species and diseases,3,2,3,8,High,Red Fox
Pseudomys fumeus,Pseudomys fumeus,Mammals,Invasive species and diseases,3,2,3,8,High,Red Fox
Psophodes nigrogularis nigrogularis,Psophodes nigrogularis nigrogularis,Birds,Invasive species and diseases,3,2,3,8,High,Red Fox
Quintalia stoddartii,Quintalia stoddartii,Invertebrates,Invasive species and diseases,3,2,3,8,High,Lantana
Sminthopsis douglasi,Sminthopsis douglasi,Mammals,Invasive species and diseases,3,2,3,8,High,Red Fox
Sminthopsis psammophila,Sminthopsis psammophila,Mammals,Invasive species and diseases,3,2,3,8,High,Red Fox
Acacia araneosa,Acacia araneosa,Plants,Invasive species and diseases,2,2,3,7,Medium,European Rabbit
Acacia curranii,Acacia curranii,Plants,Invasive species and diseases,2,2,3,7,Medium,European Rabbit
Acacia volubilis,Acacia volubilis,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Acacia whibleyana,Acacia whibleyana,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Acanthocladium dockeri,Acanthocladium dockeri,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Adclarkia cameroni,Adclarkia cameroni,Invertebrates,Invasive species and diseases,2,2,3,7,Medium,Buffel Grass
Adclarkia cameroni,Adclarkia cameroni,Invertebrates,Invasive species and diseases,2,2,3,7,Medium,Feral Pig
Adclarkia dulacca,Adclarkia dulacca,Invertebrates,Invasive species and diseases,2,2,3,7,Medium,Buffel Grass
Adclarkia dulacca,Adclarkia dulacca,Invertebrates,Invasive species and diseases,2,2,3,7,Medium,Feral Pig
Amytornis dorotheae,Amytornis dorotheae,Birds,Invasive species and diseases,1,3,3,7,Medium,Buffel Grass
Amytornis textilis myall,Amytornis textilis myall,Birds,Invasive species and diseases,2,2,3,7,Medium,Red Fox
Amytornis textilis myall,Amytornis textilis myall,Birds,Invasive species and diseases,2,2,3,7,Medium,European Rabbit
Androcalva perlaria,Androcalva perlaria,Plants,Invasive species and diseases,2,2,3,7,Medium,European Rabbit
Antechinus argentus,Antechinus argentus,Mammals,Invasive species and diseases,3,1,3,7,Medium,Red Fox
Antechinus argentus,Antechinus argentus,Mammals,Invasive species and diseases,3,1,3,7,Medium,Lantana
Antechinus bellus,Antechinus bellus,Mammals,Invasive species and diseases,2,2,3,7,Medium,Cane Toad
Ballantinia antipoda,Ballantinia antipoda,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Ballantinia antipoda,Ballantinia antipoda,Plants,Invasive species and diseases,3,1,3,7,Medium,Feral Pig
Baloskion longipes,Baloskion longipes,Plants,Invasive species and diseases,3,1,3,7,Medium,Feral Pig
Banksia cuneata,Banksia cuneata,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Bettongia lesueur lesueur,Bettongia lesueur lesueur,Mammals,Invasive species and diseases,1,3,3,7,Medium,Red Fox
Boronia deanei,Boronia deanei,Plants,Invasive species and diseases,3,1,3,7,Medium,Feral Pig
Borya mirabilis,Borya mirabilis,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Burmannia sp. bathurst island (r.fensham 1021),Burmannia sp. bathurst island (r.fensham 1021),Plants,Invasive species and diseases,3,1,3,7,Medium,Feral Pig
Caladenia audasii,Caladenia audasii,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Caladenia calcicola,Caladenia calcicola,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Caladenia insularis,Caladenia insularis,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Caladenia lowanensis,Caladenia lowanensis,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Caladenia pumila,Caladenia pumila,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Caladenia richardsiorum,Caladenia richardsiorum,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Caladenia viridescens,Caladenia viridescens,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Calamanthus pyrrhopygia parkeri,Calamanthus pyrrhopygia parkeri,Birds,Invasive species and diseases,2,2,3,7,Medium,Red Fox
Callitris oblonga subsp. oblonga,Callitris oblonga subsp. oblonga,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Calophyllum bicolor,Calophyllum bicolor,Plants,Invasive species and diseases,3,1,3,7,Medium,Feral Pig
Codonocarpus pyramidalis,Codonocarpus pyramidalis,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Conostylis drummondii,Conostylis drummondii,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Conostylis setigera subsp. dasys,Conostylis setigera subsp. dasys,Plants,Invasive species and diseases,2,2,3,7,Medium,European Rabbit
Corunastylis insignis,Corunastylis insignis,Plants,Invasive species and diseases,3,1,3,7,Medium,Feral Pig
Corunastylis insignis,Corunastylis insignis,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
Corunastylis littoralis,Corunastylis littoralis,Plants,Invasive species and diseases,3,1,3,7,Medium,Feral Pig
Corunastylis littoralis,Corunastylis littoralis,Plants,Invasive species and diseases,3,1,3,7,Medium,European Rabbit
